time,close_time,open,high,low,close,volume
1783671300000,1783672199999,64023.99,64392.0,64023.99,64331.99,412.02182
1783672200000,1783673099999,64331.99,64367.96,64174.01,64200.0,195.10731
1783673100000,1783673999999,64200.01,64287.16,64140.74,64246.01,134.91002
1783674000000,1783674899999,64246.0,64270.62,64102.0,64216.73,241.87884
1783674900000,1783675799999,64216.73,64421.94,64210.0,64417.05,381.18125
1783675800000,1783676699999,64417.06,64480.01,64357.79,64466.12,292.29742
1783676700000,1783677599999,64466.11,64478.42,64382.03,64385.09,135.65099
1783677600000,1783678499999,64385.09,64406.0,64274.47,64294.64,93.59536
1783678500000,1783679399999,64294.65,64438.76,64282.69,64437.49,121.97218
1783679400000,1783680299999,64437.48,64494.84,64370.0,64476.0,88.39057
1783680300000,1783681199999,64476.0,64491.89,64407.8,64407.8,96.89996
1783681200000,1783682099999,64407.8,64479.61,64396.97,64449.54,94.45583
1783682100000,1783682999999,64449.54,64467.99,64364.0,64427.01,89.77076
1783683000000,1783683899999,64427.02,64427.02,64341.83,64395.61,79.19098
1783683900000,1783684799999,64395.62,64480.0,64387.99,64425.18,73.87086
1783684800000,1783685699999,64425.18,64608.0,63999.0,64542.48,481.22153
1783685700000,1783686599999,64542.48,64542.49,64372.0,64500.84,274.18521
1783686600000,1783687499999,64500.84,64525.29,64356.0,64369.99,201.51366
1783687500000,1783688399999,64369.99,64390.09,64265.59,64286.64,125.03023
1783688400000,1783689299999,64286.65,64343.11,64244.9,64244.9,132.72046
1783689300000,1783690199999,64244.91,64274.06,64156.56,64161.86,151.29728
1783690200000,1783691099999,64161.86,64442.0,64152.84,64381.15,245.49051
1783691100000,1783691999999,64381.16,64692.83,64374.73,64484.0,297.17121
1783692000000,1783692899999,64484.0,64516.0,64194.29,64210.0,215.5331
1783692900000,1783693799999,64210.0,64254.9,63960.87,64135.77,320.2431
1783693800000,1783694699999,64135.77,64322.0,63793.43,64099.55,479.40684
1783694700000,1783695599999,64099.56,64144.0,63896.31,63914.87,323.54889
1783695600000,1783696499999,63914.88,64079.62,63898.0,63990.0,222.22987
1783696500000,1783697399999,63990.01,64210.0,63990.0,64143.31,169.3372
1783697400000,1783698299999,64143.3,64169.07,63944.0,63955.84,194.53329
1783698300000,1783699199999,63955.84,64040.0,63936.0,64040.0,151.72677
1783699200000,1783700099999,64039.99,64087.23,63956.66,64056.02,146.75618
1783700100000,1783700999999,64056.01,64155.19,63988.67,64012.04,148.41065
1783701000000,1783701899999,64012.03,64036.0,63826.57,63937.91,175.3859
1783701900000,1783702799999,63937.92,64220.0,63914.0,64140.01,200.91313
