index,price,direction,structure_state,zone_status,zone_type,zone_direction,zone_lifecycle,zone_low,zone_high,interacting,location_quality,trigger_status,trigger_source,trigger_direction,trigger_lifecycle,trigger_age,trigger_freshness,trigger_fresh,location_valid,selected_zone_match,readiness
244,64106.0,BEARISH,CHARACTER_CHANGE,AVAILABLE,ORDER_BLOCK,BEARISH,CONFIRMED,64198.82,64232.02,True,INTERACTING,CONFIRMED,ORDER_BLOCK,BEARISH,CONFIRMED,0,FRESH,True,True,True,CONFIRMED
245,64053.25,BEARISH,STRUCTURE_BREAK,AVAILABLE,ORDER_BLOCK,BEARISH,FRESH,64198.82,64232.02,False,APPROACHING,DIRECTION_CONFLICT,LIQUIDITY,BULLISH,CONFIRMED,0,FRESH,True,False,False,APPROACHING
246,63920.4,BEARISH,STRUCTURE_BREAK,AVAILABLE,FVG,BEARISH,PARTIAL_FILL,64053.24,64086.0,True,INTERACTING,NONE,NONE,NEUTRAL,UNKNOWN,,UNKNOWN,False,False,False,ZONE_INTERACTION
247,63792.01,BEARISH,STRUCTURE_BREAK,AVAILABLE,FVG,BEARISH,PARTIAL_FILL,63920.4,64022.66,True,INTERACTING,NONE,NONE,NEUTRAL,UNKNOWN,,UNKNOWN,False,False,False,ZONE_INTERACTION
248,63826.0,BEARISH,STRUCTURE_BREAK,AVAILABLE,FVG,BEARISH,PARTIAL_FILL,63835.0,63891.84,True,INTERACTING,NONE,NONE,NEUTRAL,UNKNOWN,,UNKNOWN,False,False,False,ZONE_INTERACTION
249,63780.0,BEARISH,STRUCTURE_BREAK,AVAILABLE,FVG,BEARISH,CONFIRMED,63835.0,63891.84,True,INTERACTING,CONFIRMED,FVG,BEARISH,CONFIRMED,0,FRESH,True,True,True,CONFIRMED
250,63886.87,BEARISH,PROTECTED,AVAILABLE,FVG,BEARISH,PARTIAL_FILL,63920.4,64022.66,True,INTERACTING,NONE,NONE,NEUTRAL,UNKNOWN,,UNKNOWN,False,False,False,ZONE_INTERACTION
251,63824.99,BEARISH,PROTECTED,AVAILABLE,ORDER_BLOCK,BEARISH,FRESH,64198.82,64232.02,False,EXTENDED,NONE,NONE,NEUTRAL,UNKNOWN,,UNKNOWN,False,False,False,WAITING
252,63826.99,BEARISH,PROTECTED,AVAILABLE,ORDER_BLOCK,BEARISH,FRESH,64198.82,64232.02,False,EXTENDED,NONE,NONE,NEUTRAL,UNKNOWN,,UNKNOWN,False,False,False,WAITING
253,63812.0,BEARISH,PROTECTED,AVAILABLE,ORDER_BLOCK,BEARISH,FRESH,64198.82,64232.02,False,EXTENDED,NONE,NONE,NEUTRAL,UNKNOWN,,UNKNOWN,False,False,False,WAITING
